,,asdasdasdasfsfssdfsdfsdfsf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,sfsdfsdfsfsfsfsdfsdfsdfdsf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df,a1_abany,a2_abdefect,a3_abhlth,a4_abnomore,a5_abpoor,a6_absingle,a7_abrape,aged,c1_fear,c2_courts,c3_cappun,ci1_conarmy,ci2_conbus,ci3_conclerg,ci4_coneduc,ci5_confed,ci6_confinan,ci7_conjudge,ci8_conlabor,ci9_conlegis,ci10_conmedic,ci11_conpress,ci12_consci,ci13_contv,d1_age,d2_cohort,d3_degree,d4_educ,d5_sex,d6_race,d7_hhrace,d8_hispanic,d9_sibs,d10_marital,d11_class,d12_childs,d13_chldidel,d14_divorce,d15_dwelown,d16_hhtype1,d17_wrkstat,d18_hrs1,d19_hrs2,d20_hrsrelax,d21_madeg,d22_maeduc,d23_padeg,d24_paeduc,d25_region,d26_reg16,d27_res16,d28_spdeg,d29_speduc,d30_zodiac,f1_income06,f2_incom16,f3_rincom06,f4_satfin,f5_valgiven,f6_finalter,f7_finrela,f8_goodlife,f9_eqwlth,f10_parsol,f11_wealth,g1_gunlaw,g2_owngun,g3_pistol,g4_rifle,g5_shotgun,h1_helppoor,h2_helpsick,h3_helpblk,h4_helpusa,h5_helpwrld,h6_careself,h7_mincult,h8_othshelp,h9_peoptrbl,h10_selfless,h11_selffrst,h12_helpnot,hap1_hapmar,hap2_happy,hap3_satjob,hap4_satjob1,hlth1_health1,hlth2_hlthall,i1_immameco,i2_immcult,i3_immideas,i4_immjobs,i5_immrghts,i6_excldimm,i7_letin1,i8_meltpot1,m1_grass,nat1_nataid,nat2_nataidy,nat3_natarms,nat4_natarmsy,nat5_natchld,nat6_natcity,nat7_natcityy,nat8_natcrime,nat9_natcrimy,nat10_natdrug,nat11_natdrugy,nat12_nateduc,nat13_nateducy,nat14_natenrgy,nat15_natenvir,nat16_natenviy,nat17_natfare,nat18_natfarey,nat19_natheal,nat20_nathealy,nat21_natmass,nat22_natpark,nat23_natrace,nat24_natracey,nat25_natroad,nat26_natsci,nat27_natsoc,nat28_natspac,nat29_natspacy,p1_partyid,p2_govdook,p3_polint1,p4_polviews,p5_pres08,p6_pres12,p7_vote08,p8_vote12,p9_polgreed,pe1_poleff11,pe2_poleff18,pe3_poleff19,pe4_poleff20,porn1_pornlaw,r1_relig,r2_relig16,r3_denom1,r4_denom,r5_denom16,r6_attend,r7_pray,r8_reliten,r9_relactiv,r10_bible,r11_fund,r12_fund16,r13_amchrstn,r14_prayer,r15_reborn,r16_savesoul,r17_relpersn,r18_spfund,r19_spden,r20_sprel,r21_sprtprsn,r22_postlife,s1_nummen,s2_numwomen,s3_partners,s4_partnrs5,s5_evstray,s6_sexfreq,s7_homosex,s8_marhomo,s9_premarsx,s10_xmarsex,s11_xmovie,s12_teensex,s13_pillok,soc1_socbar,soc2_socfrend,soc3_socommun,soc4_socrel,sr1_fechld,sr2_fefam,sr3_fehire,sr4_fefam,sr5_fepresch,sui1_suicide1,sui2_suicide2,sui3_suicide3,sui4_suicide4,sui5_letdie1,t1_colath,t2_colcom,t3_colhomo,t4_colmil,t5_colmslm,t6_colrac,t7_libath,t8_libcom,t9_libhomo,t10_libmil,t11_libmslm,t12_librac,t13_spkath,t14_spkcom,t15_spkhomo,t16_spkmil,t17_spkmslm,t18_spkrac,tf1_trust,tf2_fair,tf3_befair,tf4_cantrust,tf5_helpful,tv1_tvhours,w1_wtss,w2_wtssnr,w3_wtssall,year,id,r8_relitenR
,1,1,1,1,1,1,1,1,2,3,1,2,1,3,2,3,2,2,3,3,2,2,1,1,53,1961,3,16,1,1,1,1,3,3,3,0,-1,0,0,4,1,60,-1,2,0,9,7,97,1,2,5,7,97,6,21,2,21,2,500,1,4,2,7,3,0,1,2,2,2,2,5,5,5,0,0,3,5,1,1,5,4,5,0,1,2,2,1,0,2,4,2,1,4,4,0,2,1,3,0,2,0,3,2,0,2,0,2,0,2,0,1,2,0,3,0,3,0,2,2,2,0,1,1,2,3,0,5,0,0,6,0,0,2,2,0,0,0,0,0,3,2,2,0,0,0,0,6,3,1,3,2,2,4,0,2,2,4,0,0,0,4,8,0,10,2,3,1,3,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,0,3,-1,0.448001693,0.499804201,0.448001693,2014,1,2
,2,2,1,2,2,2,2,1,2,2,2,1,2,3,3,2,1,1,1,2,2,2,2,1,26,1988,3,16,2,1,1,1,3,1,3,0,-1,2,0,1,1,40,-1,4,2,14,3,16,1,2,3,3,16,6,25,3,21,1,600,1,4,1,2,1,0,1,2,2,2,2,3,3,5,0,0,5,4,4,3,4,5,4,1,1,2,2,1,0,2,4,2,4,4,2,0,1,1,3,0,2,0,2,1,0,1,0,2,0,1,0,1,2,0,1,0,3,0,1,2,1,0,1,2,1,8,0,5,0,0,5,2,2,1,1,0,0,0,0,0,2,2,2,0,0,0,7,2,1,3,2,2,2,3,0,2,1,1,2,0,2,1,1,7,0,1,5,2,6,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,1,0,0,3,-1,0.690295366,0.770114332,0.690295366,2014,2,1
,2,2,1,2,2,2,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1955,1,13,1,1,1,1,3,3,2,1,2,0,1,4,4,-1,-1,-1,1,12,7,97,1,1,3,7,97,3,18,2,0,3,-1,3,2,0,0,0,0,2,2,2,2,2,0,0,0,6,7,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,0,0,0,5,0,0,0,3,0,2,2,0,2,0,2,0,2,0,2,1,0,1,0,2,0,2,2,2,0,3,1,2,2,0,2,6,3,2,5,2,2,1,1,2,2,2,2,3,0,1,1,3,32,3,3,2,1,1,2,1,1,0,2,2,1,2,0,0,0,1,1,0,17,1,2,1,3,2,2,3,2,0,3,3,2,1,2,4,1,4,5,2,4,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,3,0,4,0.448001693,0.499804201,0.448001693,2014,3,1
dsds,0,0,0,0,0,0,0,2,0,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,56,1958,3,16,2,1,1,1,3,1,3,2,3,2,1,11,2,20,-1,3,1,12,1,12,1,2,3,3,16,8,25,2,10,1,-1,1,4,4,5,1,9,0,0,0,0,0,4,4,4,3,3,0,0,0,0,0,0,3,1,1,1,1,2,5,0,0,0,0,0,0,5,0,2,0,2,0,2,2,0,2,0,1,0,1,0,1,1,0,1,0,2,0,1,2,2,0,1,2,1,2,0,2,5,3,4,4,1,2,1,1,3,2,3,4,1,1,2,2,0,0,0,3,5,3,1,2,2,2,0,2,2,2,2,3,22,1,4,1,3,0,0,1,2,0,0,0,4,0,2,1,3,5,4,5,5,1,4,4,2,3,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,2,1.344005078,1.499412604,1.344005078,2014,4,2
sd,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,3,1,2,1,2,74,1940,3,17,2,1,1,1,0,1,3,3,-1,2,0,1,5,-1,-1,-1,4,17,0,8,1,2,6,1,15,9,26,4,0,1,1500,2,3,3,6,2,0,1,2,2,2,2,2,2,3,0,0,4,3,1,2,4,4,3,1,1,0,0,0,0,2,5,1,2,4,2,0,2,1,3,0,2,0,1,1,0,1,0,1,0,1,0,1,2,0,2,0,1,0,1,2,2,0,1,1,2,2,0,3,0,0,4,1,1,1,1,0,0,0,0,0,2,2,1,0,0,5,4,2,3,5,2,2,3,2,0,2,2,2,2,0,2,2,1,1,0,1,1,2,9,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,0,0,1,-1,1.380590733,1.540228664,1.380590733,2014,5,2
,1,1,1,1,1,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1958,3,17,2,1,1,1,3,1,3,1,2,1,1,1,1,60,-1,-1,1,14,3,16,1,1,3,2,14,8,25,4,25,2,-1,3,4,0,0,0,10,1,2,2,2,2,0,0,0,6,5,0,0,0,0,0,0,0,1,2,2,0,0,3,0,0,0,0,0,0,5,0,0,0,3,0,2,1,0,2,0,2,0,2,0,1,1,0,1,0,2,0,2,1,2,0,2,1,2,2,0,1,6,2,2,5,2,2,1,1,4,1,1,2,4,0,1,1,5,50,5,1,3,3,3,2,3,3,0,2,2,2,2,2,0,2,2,1,998,998,99,99,9,9,4,1,4,1,0,1,1,4,2,4,2,2,3,4,2,3,8,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,0,0,3,2,0,1,5.376020314,5.997650417,5.376020314,2014,6,2
,0,0,0,0,0,0,0,3,0,8,1,1,2,2,3,3,3,2,3,2,2,3,3,3,63,1951,1,12,1,1,1,1,1,1,9,2,8,9,1,1,9,99,99,-1,8,98,0,98,1,2,6,0,99,99,26,2,26,3,-1,3,9,5,6,1,99,0,0,0,0,0,5,3,5,5,5,0,0,0,0,0,0,5,1,2,9,0,0,1,0,0,0,0,0,0,3,0,1,0,3,0,1,3,0,2,0,2,0,2,0,3,2,0,8,0,3,0,3,3,2,0,3,3,2,8,0,1,6,4,1,6,9,9,1,1,3,4,2,1,5,2,2,2,0,0,0,3,5,2,1,1,2,2,0,2,2,2,2,9,99,99,1,1,-1,-1,-1,-1,0,-1,0,0,4,0,2,1,4,4,2,2,3,8,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,3,4,0.896003386,0.999608403,0.896003386,2014,7,2
,0,0,0,0,0,0,0,2,0,3,1,2,2,2,3,3,3,3,3,3,2,3,1,3,34,1980,4,17,1,1,1,1,1,1,2,2,8,2,1,11,1,40,-1,-1,1,12,1,12,2,9,5,4,20,6,21,3,16,2,-1,2,3,5,4,3,6,0,0,0,0,0,4,3,5,4,3,0,0,0,0,0,0,5,1,1,2,0,0,6,0,0,0,0,0,0,3,0,2,0,3,0,2,3,0,3,0,2,0,2,0,3,1,0,1,0,3,0,8,2,2,0,2,1,1,2,0,2,8,4,2,4,8,0,1,2,1,1,1,1,2,2,2,11,0,0,7,3,5,2,4,2,2,2,0,1,2,2,2,2,0,2,2,1,-1,-1,-1,-1,0,-1,0,0,4,0,2,1,2,7,3,7,6,2,4,5,2,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,3,2,1.344005078,1.499412604,1.344005078,2014,8,2
